"id","text_query","sql_query"
"1","Pays avec le plus grand nombre d'événements impliquant des gouvernements","SELECT Actor1CountryCode, COUNT(*) AS nb_evenements FROM events WHERE Actor1Type1Code = 'GOV' AND Actor1CountryCode IS NOT NULL GROUP BY Actor1CountryCode ORDER BY nb_evenements DESC LIMIT 15;"
"2","Sources de nouvelles mentionnant le plus d'événements","SELECT MentionSourceName, COUNT(DISTINCT GlobalEventID) AS nb_evenements FROM mentions GROUP BY MentionSourceName ORDER BY nb_evenements DESC LIMIT 20;"
"3","Tendances mensuelles du nombre total d'articles","SELECT MonthYear, SUM(NumArticles) AS total_articles FROM events GROUP BY MonthYear ORDER BY MonthYear DESC LIMIT 24;"
"4","Pays avec le ton moyen le plus positif dans les événements","SELECT Actor1CountryCode, AVG(AvgTone) AS ton_moyen FROM events WHERE Actor1CountryCode IS NOT NULL GROUP BY Actor1CountryCode ORDER BY ton_moyen DESC LIMIT 15;"
"5","Événements ayant le plus grand écart entre ton des articles et ton des mentions","SELECT e.GlobalEventID, e.AvgTone - AVG(m.MentionDocTone) AS difference_ton FROM events e JOIN mentions m ON e.GlobalEventID = m.GlobalEventID GROUP BY e.GlobalEventID ORDER BY ABS(difference_ton) DESC LIMIT 20;"
"6","Pourcentage d'événements par type de classe de quad (coopération, conflit, etc.)","SELECT QuadClass, COUNT(*) * 100.0 / (SELECT COUNT(*) FROM events) AS pourcentage FROM events GROUP BY QuadClass ORDER BY QuadClass;"
"7","Top 10 des acteurs mentionnés le plus fréquemment comme premier acteur","SELECT Actor1Name, COUNT(*) AS occurrences FROM events WHERE Actor1Name IS NOT NULL GROUP BY Actor1Name ORDER BY occurrences DESC LIMIT 10;"
"8","Corrélation approximative entre le nombre de mentions et le ton moyen","SELECT (SUM(NumMentions * AvgTone) - SUM(NumMentions) * AVG(AvgTone)) / (COUNT(*) * (AVG(NumMentions*NumMentions) - AVG(NumMentions)*AVG(NumMentions))) AS correlation_approx FROM events WHERE NumMentions > 0;"
"9","Année avec le score Goldstein total le plus élevé","SELECT Year, SUM(GoldsteinScale) AS goldstein_total FROM events GROUP BY Year ORDER BY goldstein_total DESC LIMIT 5;"
"10","Pays où les événements avec la police comme acteur principal sont les plus fréquents","SELECT Actor1CountryCode, COUNT(*) AS nb_evenements FROM events WHERE Actor1Type1Code = 'COP' AND Actor1CountryCode IS NOT NULL GROUP BY Actor1CountryCode ORDER BY nb_evenements DESC LIMIT 10;"
